	0	1	2
3_HITSCLIP_Ago2_binding_clusters	0.8108015000000001	0.8349759375000001	0.8336029062499999
10_PARCLIP_ELAVL1A_hg19	0.9361964375	0.9365809062500001	0.93700734375
15_PARCLIP_IGF2BP123_hg19	0.9257210000000001	0.9227639375	0.9247831875
1_PARCLIP_AGO1234_hg19	0.8545331875000001	0.89715946875	0.90532475
2_PARCLIP_AGO2MNASE_hg19	0.6637538125	0.65743321875	0.6904742500000001
6_CLIP-seq-eIF4AIII_1	0.9189040625	0.9212544374999998	0.8035125
31_ICLIP_U2AF65_Hela_iCLIP_ctrl+kd_all_clusters	0.661700875	0.6657990624999999	0.6555917499999999
23_PARCLIP_PUM2_hg19	0.9047451875000001	0.90483903125	0.9044498750000001
27_ICLIP_TDP43_hg19	0.6319798437499999	0.6284739374999999	0.61949434375
18_ICLIP_hnRNPL_Hela_group_3975_all-hnRNPL-Hela-hg19_sum_G_hg19--ensembl59_from_2337-2339-741_bedGraph-cDNA-hits-in-genome	0.77503609375	0.77356678125	0.7779304687499999
7_CLIP-seq-eIF4AIII_2	0.91483125	0.857250875	0.8809111249999999
25_CLIPSEQ_SFRS1_hg19	0.8235424375	0.732681875	0.8426370625
24_PARCLIP_QKI_hg19	0.585987375	0.5910578125	0.624265375
8_PARCLIP_ELAVL1_hg19	0.79573896875	0.7721975000000001	0.7870031562500001
16_ICLIP_hnRNPC_Hela_iCLIP_all_clusters	0.6571689375	0.6266419375000001	0.6271376249999999
26_PARCLIP_TAF15_hg19	0.8712167499999999	0.86633571875	0.866563875
9_PARCLIP_ELAVL1MNASE_hg19	0.6706063124999999	0.68047053125	0.677242125
20_ICLIP_hnRNPlike_U266_group_4000_all-hnRNPLlike-U266-hg19_sum_G_hg19--ensembl59_from_2342-2486_bedGraph-cDNA-hits-in-genome	0.6886815625	0.6942567187500001	0.7156555625
19_ICLIP_hnRNPL_U266_group_3986_all-hnRNPL-U266-hg19_sum_G_hg19--ensembl59_from_2485_bedGraph-cDNA-hits-in-genome	0.65809178125	0.671278	0.6325547499999999
17_ICLIP_HNRNPC_hg19	0.629351	0.56724696875	0.6310294375000001
12_PARCLIP_EWSR1_hg19	0.78154240625	0.7829092187500001	0.83156909375
14_PARCLIP_FUS_mut_hg19	0.9403175000000001	0.93826665625	0.9399536874999999
30_ICLIP_U2AF65_Hela_iCLIP_ctrl_all_clusters	0.6731628125	0.6856144375000001	0.65362525
4_HITSCLIP_Ago2_binding_clusters_2	0.80614996875	0.8374726562500001	0.8252137812499999
5_CLIPSEQ_AGO2_hg19	0.62691884375	0.644039625	0.6450040625
29_ICLIP_TIAL1_hg19	0.7911365937499999	0.7915585937499999	0.8034085625
13_PARCLIP_FUS_hg19	0.6606691250000001	0.662475625	0.633778
21_PARCLIP_MOV10_Sievers_hg19	0.9592553437499999	0.9586078125	0.9553378125
28_ICLIP_TIA1_hg19	0.86681103125	0.8635600625000001	0.8401593124999999
22_ICLIP_NSUN2_293_group_4007_all-NSUN2-293-hg19_sum_G_hg19--ensembl59_from_3137-3202_bedGraph-cDNA-hits-in-genome	0.74246421875	0.7767356875000001	0.76629159375
11_CLIPSEQ_ELAVL1_hg19	0.9389898125	0.938231625	0.9396543437499999
